slice_-13,slice_-11,slice_-9,slice_-7,slice_-5
13,13,17,13,13
13,12,17,14,13
13,12,16,14,14
14,13,16,15,14
14,13,16,15,14
14,12,14,15,14
14,12,14,16,15
14,12,14,16,16
15,13,14,16,16
17,14,15,15,16
17,16,16,15,16
18,17,17,15,15
18,17,17,15,15
18,18,17,15,15
16,18,17,15,14
15,18,16,15,14
15,18,16,15,15
15,18,16,15,14
16,18,16,15,12
17,19,16,15,12
18,20,16,15,13
18,21,16,15,14
18,24,16,15,14
19,17,17,16,14
20,17,17,16,14
20,18,17,16,14
20,20,15,16,14
20,22,15,16,14
20,22,16,16,15
19,22,16,16,15
17,22,16,16,15
17,13,16,17,16
17,14,16,17,17
17,16,16,17,18
17,17,14,17,18
17,17,14,17,18
16,18,15,16,18
16,17,15,15,17
17,17,15,16,17
18,17,15,17,16
18,18,16,17,16
19,18,17,16,17
19,18,17,16,18
20,19,17,17,19
21,20,19,18,19
22,20,20,18,18
22,21,21,18,16
23,22,21,19,16
25,22,21,19,17
25,26,20,20,18
25,27,20,20,18
25,28,21,21,17
25,27,23,21,17
26,26,24,21,18
27,26,25,22,18
28,26,25,22,18
28,26,25,21,18
27,26,25,21,16
26,25,25,23,16
26,25,25,23,15
25,25,25,23,18
24,24,24,22,18
24,24,23,21,17
24,24,22,20,16
25,24,21,19,16
24,23,20,18,15
24,22,19,18,15
23,21,18,18,15
23,20,17,17,16
22,19,18,18,17
22,19,19,18,17
21,20,19,17,15
20,21,19,17,15
19,23,20,18,17
20,24,20,19,18
21,24,21,19,19
23,24,22,19,19
24,23,22,18,18
23,23,22,17,18
23,23,21,15,17
22,24,21,15,17
23,24,20,16,18
24,23,19,17,17
23,22,18,15,16
22,22,18,15,15
21,21,17,16,14
21,20,18,16,13
22,19,18,16,12
21,19,19,15,12
18,16,19,14,13
16,16,19,13,13
16,17,18,12,13
16,16,16,11,12
15,14,16,11,12
14,13,13,10,11
10,11,11,10,10
9,11,10,10,10
9,12,10,10,10
8,12,11,8,10
8,12,11,8,10
8,12,11,8,10
9,13,12,9,10
10,14,13,9,10
12,14,14,10,8
13,14,11,11,8
14,14,11,12,7
14,14,12,12,5
12,15,13,13,5
13,16,14,13,6
15,17,14,14,7
16,16,14,15,7
17,15,15,15,7
17,15,16,14,7
18,16,16,13,9
19,16,16,13,10
19,16,16,13,9
19,16,14,13,9
17,16,14,13,9
17,16,13,14,9
17,17,14,14,10
17,19,15,14,10
16,20,15,13,9
15,20,14,13,9
13,19,14,13,8
13,18,14,13,8
15,17,13,14,8
16,17,15,15,8
17,18,15,15,8
